"Data of 1 min 
(Friday, January 13, 2023 7:45:00.179 PM GMT+05:45) ",,,,,,,,,,,,
Date and time,Acc X Ts,Acc X Value,Acc Y Ts,Acc Y Value,Acc Z Ts,Acc Z Value,Gyro X Ts,Gyro X Value,Gyro Y Ts,Gyro Y Value,Gyro Z Ts,Gyro Z Value
1/13/2023 19:30:28,1673618427652,0.096,1673618427652,0.904,1673618427652,-0.35,1673618427652,44.1,1673618427652,8.89,1673618427652,-12.53
1/13/2023 19:30:27,1673618426850,0.025,1673618426850,0.858,1673618426850,-0.441,1673618426850,28.14,1673618426850,13.16,1673618426850,-16.66
1/13/2023 19:30:26,1673618426048,0.054,1673618426048,0.76,1673618426048,-0.591,1673618426048,5.95,1673618426048,40.67,1673618426048,2.31
1/13/2023 19:30:25,1673618425246,0.111,1673618425246,0.591,1673618425246,-0.837,1673618425246,-62.93,1673618425246,-48.86,1673618425246,-11.41
1/13/2023 19:30:24,1673618424444,0.08,1673618424444,0.561,1673618424444,-0.772,1673618424444,1.12,1673618424444,-6.65,1673618424444,5.53
1/13/2023 19:30:24,1673618423643,0.047,1673618423643,0.512,1673618423643,-0.806,1673618423643,7,1673618423643,-13.79,1673618423643,5.95
1/13/2023 19:30:23,1673618423041,0.155,1673618423041,0.585,1673618423041,-0.752,1673618423041,216.51,1673618423041,-2.31,1673618423041,-3.22
1/13/2023 19:30:22,1673618422239,0.065,1673618422239,0.521,1673618422239,-0.77,1673618422239,7.49,1673618422239,4.76,1673618422239,-21.14
1/13/2023 19:30:21,1673618421437,0.17,1673618421437,0.566,1673618421437,-0.79,1673618421437,-4.83,1673618421437,14.56,1673618421437,-5.88
1/13/2023 19:30:21,1673618420635,0.093,1673618420635,0.567,1673618420635,-0.785,1673618420635,1.61,1673618420635,19.11,1673618420635,-1.26
1/13/2023 19:30:20,1673618419834,0.1,1673618419834,0.554,1673618419834,-0.801,1673618419834,-4.06,1673618419834,-3.71,1673618419834,8.26
1/13/2023 19:30:19,1673618419032,0.066,1673618419032,0.554,1673618419032,-0.782,1673618419032,16.1,1673618419032,-16.52,1673618419032,5.04
